logFC	logCPM	PValue	FDR
YMR034C	3.11068748339666	5.44959632073533	4.34171492872793e-09	9.2057664427511e-08
YIR016W	2.18972414048224	7.27781065507264	4.96575351868924e-09	1.04887328139031e-07
YPR160W-A	4.38109683677493	3.34638265419283	5.4563513056538e-09	1.14811589830753e-07
YHL024W	2.8064538714629	5.47471063957304	6.03101754092804e-09	1.26422920725363e-07
YNL101W	-2.03542949443434	7.97814778888658	6.25919305135185e-09	1.30710846589363e-07
YAR015W	-2.07131612056371	7.82496048416839	7.03927757776343e-09	1.46448729756928e-07
YGL186C	-1.85795387893416	8.41673500242159	7.40005268946819e-09	1.53377871099315e-07
YPR151C	4.70030258072262	2.92025705698787	7.58545631590647e-09	1.56634012135173e-07
YNL093W	5.38905565710782	2.8967070273231	8.39371372372928e-09	1.72679597572929e-07
YFL014W	3.56595974845361	10.0688082504774	9.45147520600168e-09	1.93720236259309e-07
YHR047C	1.69416889447336	7.13219066297179	9.62820610407558e-09	1.96614363763669e-07
YBR085W	-4.20869656561788	3.02822127776989	1.01612827400839e-08	2.06737274572148e-07
YKL067W	1.92315103311254	8.40376734747946	1.05307164655935e-08	2.13468809232946e-07
YPR191W	1.9540410523113	9.04315533139506	1.07135780595746e-08	2.16382996283524e-07
YLR359W	-2.09954662920596	9.60499264115128	1.29331561712449e-08	2.60262131824253e-07
YNR018W	1.7046136864059	6.68878753600144	1.40800916647951e-08	2.82316040844116e-07
YLR284C	2.2510625837638	5.53542206739867	1.5123992241836e-08	3.02152249336896e-07
YPR169W-A	-1.91997734164752	7.17843298730821	1.56406341014682e-08	3.11349888911961e-07
YJL066C	1.94057363262196	5.81184464122666	1.61926040553323e-08	3.21182332767773e-07
YLR348C	-1.93011882493852	7.34544282070415	1.6387854376708e-08	3.23894236145365e-07
YDL059C	-3.98099766494243	4.70377706817515	1.64838723998324e-08	3.24632561781753e-07
YGL026C	-1.91403805886887	9.93133551351335	1.66020184516469e-08	3.25799894012106e-07
YKL152C	-1.84764784615363	12.4127156519889	1.67781514612823e-08	3.28092898186348e-07
YGR250C	2.12153525079013	7.26611317611046	1.74000120716271e-08	3.3905516480417e-07
YLL024C	-2.06221850499073	8.60959097525451	1.75268006133779e-08	3.40327419629591e-07
YFR015C	2.43151942853777	8.06938401842683	1.80853379076187e-08	3.499449649677e-07
YBR115C	-2.00452639299701	9.10698008135535	2.1111673598514e-08	4.07080145275876e-07
YHR096C	6.28569376813955	7.88385429393132	2.31754876689928e-08	4.4532343319516e-07
YKR080W	-2.24468692609002	6.52631039300668	2.5814647598834e-08	4.94319238103624e-07
YER073W	-1.8938758332611	7.51146146893934	2.87532826486833e-08	5.48691952337288e-07
YGL209W	-4.19853225272842	4.84075797530032	2.94730491287588e-08	5.60494343225261e-07
YOR184W	-1.9624730641612	8.34804615875197	3.12813188585011e-08	5.92845269051182e-07
YCR048W	-1.65999291222672	6.6849173601047	3.48745496180902e-08	6.58688592445431e-07
YER065C	4.25133071938587	8.62814743097107	3.57179877087929e-08	6.72324299253265e-07
YOL053W	1.87205918921259	5.33222457624312	3.63976226508995e-08	6.80881202989705e-07
YKR076W	2.48332352401698	5.70949622215769	3.64186548762112e-08	6.80881202989705e-07
YPR194C	-4.10038370595801	3.59719955710834	3.6588065593701e-08	6.81745303015291e-07
YGR289C	1.85213525854365	5.73897748877184	3.68549666578432e-08	6.84414045250015e-07
YMR173W	-2.34402349778298	7.17749237716331	4.32877422269e-08	8.01185168841688e-07
YMR104C	2.05777397901541	7.12318140661051	4.45306915373692e-08	8.21442823226004e-07
YBR298C	1.7689709946103	6.94172106163467	4.49870032819509e-08	8.27103243064173e-07
YGL062W	2.12821496816365	10.3555266132757	4.93108646157782e-08	9.03597101932837e-07
YDL222C	6.21453461281753	6.98207916910096	5.32648968167759e-08	9.69942732095482e-07
YLR094C	2.0937264368029	4.90564323907246	5.34117124498462e-08	9.69942732095482e-07
YGL191W	1.71431331291455	7.60733449244203	5.34572702004196e-08	9.69942732095482e-07
YBR230C	2.20997963585207	8.89616414196761	5.49819839662165e-08	9.94347383232163e-07
YJL200C	-2.05714282834036	8.81906555605176	5.60120704210017e-08	1.00967686550431e-06
YLR136C	2.54597148111907	5.72320446829617	6.19508796843806e-08	1.11310444212131e-06
YER049W	-1.76880078770086	7.06647377706133	6.8405366117248e-08	1.22509804560793e-06
YKL141W	2.17887247717096	9.88076593796093	7.05780571554424e-08	1.2599321558007e-06
YNL141W	-2.05995428820848	6.2868546613548	7.31199013547987e-08	1.30111104211401e-06
YKL008C	-1.74485791383079	7.43471013623107	7.64115577339884e-08	1.35532551442273e-06
